11:10:11	脚本第_89行	CANDIDATE 2 CARD 3 STD sim 0.9 MISS area 598 350 798 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_87行	CANDIDATE 2 CARD 3 STD sim 0.88 HIT 683 499 area 598 350 798 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 3 STD sim 0.85 MISS area 598 350 798 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_123行	-- CARD 3 MOTION WINDOW --
11:10:11	脚本第_89行	CANDIDATE 2 CARD 3 MOTION sim 0.95 MISS area 598 330 798 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 3 MOTION sim 0.93 MISS area 598 330 798 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 3 MOTION sim 0.9 MISS area 598 330 798 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_87行	CANDIDATE 2 CARD 3 MOTION sim 0.88 HIT 683 500 area 598 330 798 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_87行	CANDIDATE 2 CARD 3 MOTION sim 0.85 HIT 683 500 area 598 330 798 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_121行	-- CARD 4 STANDARD WINDOW --
11:10:11	脚本第_89行	CANDIDATE 2 CARD 4 STD sim 0.95 MISS area 891 350 1091 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 4 STD sim 0.93 MISS area 891 350 1091 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 4 STD sim 0.9 MISS area 891 350 1091 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 4 STD sim 0.88 MISS area 891 350 1091 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 4 STD sim 0.85 MISS area 891 350 1091 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_123行	-- CARD 4 MOTION WINDOW --
11:10:11	脚本第_89行	CANDIDATE 2 CARD 4 MOTION sim 0.95 MISS area 891 330 1091 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 4 MOTION sim 0.93 MISS area 891 330 1091 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 4 MOTION sim 0.9 MISS area 891 330 1091 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 4 MOTION sim 0.88 MISS area 891 330 1091 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 4 MOTION sim 0.85 MISS area 891 330 1091 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_121行	-- CARD 5 STANDARD WINDOW --
11:10:11	脚本第_89行	CANDIDATE 2 CARD 5 STD sim 0.95 MISS area 1178 350 1378 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
